Title,Media URL,Destination Link,Description,Pinterest board
"Bologna, Italy - Spring 2023 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_7836.webp,https://sjkonfilm.work/pages/color.html,"Bologna, Italy - Spring 2023 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Venice, Italy - Winter 2023 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_7847.webp,https://sjkonfilm.work/pages/color.html,"Venice, Italy - Winter 2023 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"London, England - Spring 2023 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_8035.webp,https://sjkonfilm.work/pages/color.html,"London, England - Spring 2023 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Salzburg, Austria - Spring 2023 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_8064.webp,https://sjkonfilm.work/pages/color.html,"Salzburg, Austria - Spring 2023 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Venice, Italy - Spring 2023 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_8297.webp,https://sjkonfilm.work/pages/color.html,"Venice, Italy - Spring 2023 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Bassano del Grappa, Italy - Winter 2023 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_8147.webp,https://sjkonfilm.work/pages/color.html,"Bassano del Grappa, Italy - Winter 2023 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Bend, Oregon - Spring 2026 - 35mm Film Photography",https://sjkonfilm.work/assets/images/scenes/full/000000090004.webp,https://sjkonfilm.work/pages/scenes.html,"Bend, Oregon - Spring 2026 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
"Maui, Hawaii - Winter 2025 - 35mm Film Photography",https://sjkonfilm.work/assets/images/scenes/full/000017070025.webp,https://sjkonfilm.work/pages/scenes.html,"Maui, Hawaii - Winter 2025 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
"Maui, Hawaii - Winter 2025 - 35mm Film Photography #2",https://sjkonfilm.work/assets/images/scenes/full/000017210019.webp,https://sjkonfilm.work/pages/scenes.html,"Maui, Hawaii - Winter 2025 - 35mm Film Photography #2. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
"Cantebury, England - Autumn 2024 - 35mm Film Photography",https://sjkonfilm.work/assets/images/scenes/full/000094770008.webp,https://sjkonfilm.work/pages/scenes.html,"Cantebury, England - Autumn 2024 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
"Canon Beach, Oregon - Autumn 2024 - 35mm Film Photography",https://sjkonfilm.work/assets/images/scenes/full/000094820015.webp,https://sjkonfilm.work/pages/scenes.html,"Canon Beach, Oregon - Autumn 2024 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
"Canon Beach, Oregon - Autumn 2024 - 35mm Film Photography #2",https://sjkonfilm.work/assets/images/scenes/full/000094820019.webp,https://sjkonfilm.work/pages/scenes.html,"Canon Beach, Oregon - Autumn 2024 - 35mm Film Photography #2. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
"Florence, Italy - Spring 2025 - 35mm Film Photography",https://sjkonfilm.work/assets/images/scenes/full/IMG_0481.webp,https://sjkonfilm.work/pages/scenes.html,"Florence, Italy - Spring 2025 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
